Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
3.211023128451061e+02	9.836621813220004e+02	1.478849443211346e+02	-2.537476568569179e-12	4.954007624956853e+01	2.085805338601237e+08	7.108444911710965e+06	2.146798653926570e+08	-4.474391395251206e+03	3.781180515280158e+04	2.449896520808414e+03	1.672894866193825e+07
3.342049335627009e+02	9.963064024060120e+02	1.502495493569465e+02	-2.503527280478859e-12	4.937554535319354e+01	2.094772492126259e+08	7.545841519537641e+06	2.160068389736547e+08	-4.525440646233006e+03	7.653943357794818e+03	2.479695127637466e+03	1.694398643547586e+07
3.473075542802957e+02	1.006620300864638e+03	1.522686187632489e+02	-2.478570483264385e-12	4.921874140191384e+01	2.100787186355668e+08	7.945943993304621e+06	2.170017521113249e+08	-4.566581968073837e+03	-2.313405890111098e+04	2.503301406261156e+03	1.711939287184704e+07
3.604101749978905e+02	1.014845419986952e+03	1.539555644405085e+02	-2.457554967360689e-12	4.907503922521870e+01	2.104654510089020e+08	8.302815225851316e+06	2.177390977012416e+08	-4.598308729718225e+03	-5.324454539429401e+04	2.521914717746470e+03	1.725927585011769e+07
3.735127957154853e+02	1.021223913769564e+03	1.553269036891613e+02	-2.442039890541987e-12	4.894823116465947e+01	2.107015400821025e+08	8.611531231910095e+06	2.182780414761689e+08	-4.622697285906670e+03	-8.150109130720129e+04	2.535832492131235e+03	1.736775363553627e+07
3.866154164330800e+02	1.025994393513780e+03	1.564023064126946e+02	-2.431107022030813e-12	4.884104209890133e+01	2.108365847257823e+08	8.868399500588814e+06	2.186645736657324e+08	-4.639567668602427e+03	-1.068199938668197e+05	2.546009477104436e+03	1.744888424343109e+07
3.997180371506748e+02	1.029400562773403e+03	1.572074104629484e+02	-2.423094836317019e-12	4.875520215695231e+01	2.109075862245263e+08	9.071870015350368e+06	2.189343215794997e+08	-4.650158316282550e+03	-1.282498604142549e+05	2.553449815205444e+03	1.750681229206414e+07
4.128206578682696e+02	1.031685880926957e+03	1.577736269881367e+02	-2.417511361501351e-12	4.869077186333077e+01	2.109409286551261e+08	9.222899841687126e+06	2.191147729790508e+08	-4.657057456573812e+03	-1.452037693958132e+05	2.557708464995177e+03	1.754567824705655e+07
4.259232785858644e+02	1.033081650988316e+03	1.581359170891234e+02	-2.414184988641494e-12	4.864691668857093e+01	2.109542978999650e+08	9.324654675932029e+06	2.192269395993322e+08	-4.660628592072286e+03	-1.573363744729749e+05	2.560055433765306e+03	1.756941583313409e+07
4.390258993034591e+02	1.033816604938367e+03	1.583356055067518e+02	-2.412422212302038e-12	4.862117238302941e+01	2.109585561095107e+08	9.383592579393247e+06	2.192882045619737e+08	-4.662327589535734e+03	-1.648070397625130e+05	2.561102490150551e+03	1.758191504997169e+07
4.521285200210539e+02	1.034100646222382e+03	1.584163029871933e+02	-2.411751574158205e-12	4.861007770226080e+01	2.109595095209092e+08	9.408576434718003e+06	2.193132146039301e+08	-4.662336424531747e+03	-1.681768141169429e+05	2.561299327728997e+03	1.758674568405358e+07
4.652311407386487e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
4.783337614562435e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
4.914363821738382e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
5.045390028914330e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
5.176416236090279e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
5.307442443266226e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
5.438468650442173e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
5.569494857618122e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
5.700521064794069e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
5.831547271970018e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
5.962573479145965e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
6.093599686321912e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
6.224625893497861e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
6.355652100673808e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
6.486678307849756e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
6.617704515025704e+02	1.034143167938339e+03	1.584289185454512e+02	-2.411656480193264e-12	4.860821895020965e+01	2.109596088102340e+08	9.412667488213034e+06	2.193172311450584e+08	-4.662363592665401e+03	-1.687665592540465e+05	2.561281298666686e+03	1.758746884248821e+07
