Time,Voltage,Current
 (s),(V),(A)
972,3.878,2.25
973,3.878,2.25
974,3.878,2.25
975,3.878,2.25
976,3.878,2.25
977,3.878,2.25
978,3.877,2.25
979,3.877,2.25
980,3.877,2.25
981,3.877,2.25
982,3.877,2.25
983,3.876,2.25
984,3.876,2.25
985,3.876,2.25
986,3.876,2.25
987,3.876,2.25
988,3.875,2.25
989,3.876,2.25
990,3.875,2.25
991,3.875,2.25
992,3.875,2.25
993,3.875,2.25
994,3.873,2.25
995,3.875,2.25
996,3.875,2.25
997,3.873,2.25
998,3.873,2.25
999,3.873,2.25
1000,3.873,2.25
1001,3.873,2.25
1002,3.873,2.25
1003,3.873,2.25
1004,3.873,2.25
1005,3.872,2.25
1006,3.872,2.25
1007,3.872,2.25
1008,3.872,2.25
1009,3.872,2.25
1010,3.872,2.25
1011,3.872,2.25
1012,3.872,2.25
1013,3.872,2.25
1014,3.871,2.25
1015,3.871,2.25
1016,3.871,2.25
1017,3.871,2.25
1018,3.871,2.25
1019,3.871,2.25
1020,3.87,2.25
1021,3.87,2.25
1022,3.87,2.25
1023,3.87,2.25
1024,3.87,2.25
1025,3.87,2.25
1026,3.87,2.25
1027,3.87,2.25
1028,3.87,2.25
1029,3.868,2.25
1030,3.868,2.25
1031,3.868,2.25
1032,3.867,2.25
1033,3.867,2.25
1034,3.867,2.25
1035,3.867,2.25
1036,3.867,2.25
1037,3.867,2.25
1038,3.867,2.25
1039,3.867,2.25
1040,3.867,2.25
1041,3.866,2.25
1042,3.866,2.25
1043,3.866,2.25
1044,3.866,2.25
1045,3.866,2.25
1046,3.866,2.25
1047,3.866,2.25
1048,3.866,2.25
1049,3.865,2.25
1050,3.865,2.25
1051,3.865,2.25
1052,3.865,2.25
1053,3.865,2.25
1054,3.865,2.25
1055,3.863,2.25
1056,3.865,2.25
1057,3.865,2.25
1058,3.865,2.25
1059,3.863,2.25
1060,3.863,2.25
1061,3.863,2.25
1062,3.863,2.25
1063,3.863,2.25
1064,3.862,2.25
1065,3.862,2.25
1066,3.862,2.25
1067,3.862,2.25
1068,3.862,2.25
1069,3.862,2.25
1070,3.862,2.25
1071,3.861,2.25
1072,3.861,2.25
1073,3.862,2.25
1074,3.861,2.25
1075,3.861,2.25
1076,3.86,2.25
1077,3.86,2.25
1078,3.86,2.25
1079,3.86,2.25
1080,3.858,2.25
1081,3.858,2.25
1082,3.858,2.25
1083,3.858,2.25
1084,3.857,2.25
1085,3.857,2.25
1086,3.857,2.25
1087,3.857,2.25
1088,3.857,2.25
1089,3.857,2.25
1090,3.857,2.25
1091,3.857,2.25
1092,3.856,2.25
1093,3.856,2.25
1094,3.856,2.25
1095,3.856,2.25
1096,3.856,2.25
1097,3.856,2.25
1098,3.855,2.25
1099,3.855,2.25
1100,3.855,2.25
1101,3.855,2.25
1102,3.855,2.25
1103,3.855,2.25
1104,3.855,2.25
1105,3.855,2.25
1106,3.855,2.25
1107,3.855,2.25
1108,3.855,2.25
1109,3.853,2.25
1110,3.853,2.25
1111,3.853,2.25
1112,3.853,2.25
1113,3.853,2.25
1114,3.853,2.25
1115,3.852,2.25
1116,3.853,2.25
1117,3.852,2.25
1118,3.852,2.25
1119,3.852,2.25
1120,3.851,2.25
1121,3.852,2.25
1122,3.851,2.25
1123,3.851,2.25
1124,3.851,2.25
1125,3.851,2.25
1126,3.851,2.25
1127,3.851,2.25
1128,3.849,2.25
1129,3.849,2.25
1130,3.849,2.25
1131,3.849,2.25
1132,3.849,2.25
1133,3.849,2.25
1134,3.849,2.25
1135,3.849,2.25
1136,3.848,2.25
1137,3.848,2.25
1138,3.848,2.25
1139,3.848,2.25
1140,3.848,2.25
1141,3.848,2.25
1142,3.847,2.25
1143,3.847,2.25
1144,3.847,2.25
1145,3.847,2.25
1146,3.847,2.25
1147,3.847,2.25
1148,3.847,2.25
1149,3.847,2.25
1150,3.846,2.25
1151,3.846,2.25
1152,3.846,2.25
1153,3.846,2.25
1154,3.846,2.25
1155,3.846,2.25
1156,3.846,2.25
1157,3.846,2.25
1158,3.844,2.25
1159,3.844,2.25
1160,3.844,2.25
1161,3.844,2.25
1162,3.844,2.25
1163,3.844,2.25
1164,3.844,2.25
1165,3.844,2.25
1166,3.844,2.25
1167,3.844,2.25
1168,3.844,2.25
1169,3.843,2.25
1170,3.843,2.25
1171,3.843,2.25
1172,3.843,2.25
1173,3.842,2.25
1174,3.843,2.25
1175,3.842,2.25
1176,3.842,2.25
1177,3.842,2.25
1178,3.842,2.25
1179,3.842,2.25
1180,3.842,2.25
1181,3.842,2.25
1182,3.841,2.25
1183,3.841,2.25
1184,3.841,2.25
1185,3.841,2.25
1186,3.841,2.25
1187,3.841,2.25
1188,3.839,2.25
1189,3.839,2.25
1190,3.839,2.25
1191,3.839,2.25
1192,3.839,2.25
1193,3.839,2.25
1194,3.839,2.25
1195,3.839,2.25
1196,3.839,2.25
1197,3.839,2.25
1198,3.838,2.25
1199,3.839,2.25
1200,3.838,2.25
1201,3.838,2.25
1202,3.838,2.25
1203,3.838,2.25
1204,3.838,2.25
1205,3.837,2.25
1206,3.837,2.25
1207,3.837,2.25
1208,3.837,2.25
1209,3.837,2.25
1210,3.836,2.25
1211,3.836,2.25
1212,3.836,2.25
1213,3.836,2.25
1214,3.836,2.25
1215,3.834,2.25
1216,3.836,2.25
1217,3.834,2.25
1218,3.834,2.25
1219,3.834,2.25
1220,3.834,2.25
1221,3.834,2.25
1222,3.834,2.25
1223,3.834,2.25
1224,3.834,2.25
1225,3.834,2.25
1226,3.834,2.25
1227,3.833,2.25
1228,3.833,2.25
1229,3.833,2.25
1230,3.833,2.25
1231,3.833,2.25
1232,3.833,2.25
1233,3.833,2.25
1234,3.832,2.25
1235,3.832,2.25
1236,3.832,2.25
1237,3.832,2.25
1238,3.832,2.25
1239,3.832,2.25
1240,3.832,2.25
1241,3.831,2.25
1242,3.831,2.25
1243,3.831,2.25
1244,3.831,2.25
1245,3.829,2.25
1246,3.831,2.25
1247,3.829,2.25
1248,3.829,2.25
1249,3.829,2.25
1250,3.829,2.25
1251,3.829,2.25
1252,3.829,2.25
1253,3.829,2.25
1254,3.829,2.25
1255,3.828,2.25
1256,3.828,2.25
1257,3.828,2.25
1258,3.828,2.25
1259,3.828,2.25
1260,3.828,2.25
1261,3.827,2.25
1262,3.827,2.25
1263,3.827,2.25
1264,3.827,2.25
1265,3.827,2.25
1266,3.827,2.25
1267,3.827,2.25
1268,3.827,2.25
1269,3.827,2.25
1270,3.827,2.25
1271,3.827,2.25
1272,3.826,2.25
1273,3.826,2.25
1274,3.826,2.25
1275,3.826,2.25
1276,3.826,2.25
1277,3.826,2.25
1278,3.826,2.25
1279,3.824,2.25
1280,3.824,2.25
1281,3.824,2.25
1282,3.824,2.25
1283,3.824,2.25
1284,3.824,2.25
1285,3.824,2.25
1286,3.823,2.25
1287,3.824,2.25
1288,3.824,2.25
1289,3.824,2.25
1290,3.823,2.25
1291,3.823,2.25
1292,3.823,2.25
1293,3.823,2.25
1294,3.823,2.25
1295,3.823,2.25
1296,3.822,2.25
1297,3.822,2.25
1298,3.822,2.25
1299,3.822,2.25
1300,3.822,2.25
1301,3.822,2.25
1302,3.822,2.25
1303,3.822,2.25
1304,3.821,2.25
1305,3.821,2.25
1306,3.821,2.25
1307,3.821,2.25
1308,3.821,2.25
1309,3.819,2.25
1310,3.819,2.25
1311,3.819,2.25
1312,3.819,2.25
1313,3.819,2.25
1314,3.819,2.25
1315,3.819,2.25
1316,3.819,2.25
1317,3.819,2.25
1318,3.819,2.25
1319,3.819,2.25
1320,3.819,2.25
1321,3.818,2.25
1322,3.818,2.25
1323,3.818,2.25
1324,3.818,2.25
1325,3.818,2.25
1326,3.818,2.25
1327,3.817,2.25
1328,3.817,2.25
1329,3.817,2.25
1330,3.817,2.25
1331,3.817,2.25
1332,3.816,2.25
1333,3.816,2.25
1334,3.816,2.25
1335,3.816,2.25
1336,3.816,2.25
1337,3.816,2.25
1338,3.814,2.25
1339,3.814,2.25
1340,3.814,2.25
1341,3.814,2.25
1342,3.814,2.25
1343,3.814,2.25
1344,3.814,2.25
1345,3.814,2.25
1346,3.814,2.25
1347,3.814,2.25
1348,3.814,2.25
1349,3.813,2.25
1350,3.813,2.25
1351,3.813,2.25
1352,3.813,2.25
1353,3.813,2.25
1354,3.813,2.25
1355,3.813,2.25
1356,3.812,2.25
