mission,N_laps,position,velocity,acceleration,time,throttle,thrust,loadfactor,AOA,climb_pitch_angle,bank_angle,phase,battery_SoC,battery_voltage,Amps,motor_input_power
0,4,[-54.66810591  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],127.89999999999701,0.5917461678705457,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.5767164358076,22.799999999999997,20.065012551485648,0
0,4,[-52.16814624  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],127.999999999997,0.5917461678705457,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.55127531211869,22.79954782770342,20.065012551485648,0
0,4,[-49.66818657  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],128.099999999997,0.5917579036832792,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.52583469298117,22.79419585539105,20.065012551485648,0
0,4,[-47.1682269   50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],128.199999999997,0.5918968457164281,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.500400045781774,22.794,20.065012551485648,0
0,4,[-44.66826723  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],128.299999999997,0.5919019315367394,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.47496561712543,22.794,20.065012551485648,0
0,4,[-42.16830756  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],128.399999999997,0.5919019315367394,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.449531188469074,22.794,20.065012551485648,0
0,4,[-39.66834789  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],128.499999999997,0.5919019315367394,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.42409675981271,22.794,20.065012551485648,0
0,4,[-37.16838821  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],128.59999999999698,0.5919019315367394,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.39866233115636,22.794,20.065012551485648,0
0,4,[-34.66842854  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],128.69999999999698,0.5919019315367394,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.3732279025,22.794,20.065012551485648,0
0,4,[-32.16846887  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],128.79999999999697,0.5919019315367394,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.347793473843645,22.794,20.065012551485648,0
0,4,[-29.6685092   50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],128.89999999999696,0.5919019315367394,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.32235904518729,22.794,20.065012551485648,0
0,4,[-27.16854953  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],128.99999999999696,0.5919019315367394,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.29692461653093,22.794,20.065012551485648,0
0,4,[-24.66858986  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],129.09999999999695,0.5919019315367394,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.271490187874576,22.794,20.065012551485648,0
0,4,[-22.16863019  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],129.19999999999695,0.5919019315367394,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.246055759218216,22.794,20.065012551485648,0
0,4,[-19.66867052  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],129.29999999999694,0.5919019315367394,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.22062133056186,22.794,20.065012551485648,0
